Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara est un designer de bijoux et son père est un avocat.
This episode introduces the station ' s graphics designer , Mona , as she draws pictures for Nas ' story for the children ' s segment `` Listen With Frank '' . ||| Cet épisode introduit le concepteur graphique de la station, Mona, alors qu’elle fait des photos pour l’histoire de Nas pour les enfants du segment « Écouter avec Frank ».
At the same time , the designer wanted her creations to be equally as interesting on an intellectual level for parents to enjoy also . ||| Au même moment, le concepteur voulait que ses créations soient aussi intéressantes au niveau intellectuel que les parents.
Although costume designer Vasuki Baskar wrote on her social media account that the first look of the film would be released on 13 November , during the Diwali festival , it was unveiled on 15 December 2012 at Yuvan Shankar Raja 's concert in Malaysia . ||| Bien que le designer de costumes Vasuki Baskar ait écrit sur son compte sur les médias sociaux que la première vue du film serait sortie le 13 novembre, lors du festival Diwali, il a été présenté le 15 décembre 2012 au concert de Yuvan Shankar Raja en Malaisie.
Jenny Hellström ( born 1976 in Hofors , Gästrikland ) is both the name of a Swedish designer and her clothing brand . ||| Jenny Hellström (né en 1976 à Hofors, Gästrikland) est le nom d'un designer suédois et de sa marque de vêtements.
After World War II the famous designer reestablished herself . ||| Après la Seconde Guerre mondiale, le célèbre designer se rétablit.
Prominent Lithuanian clothing designer usually organizes his collections presentations in Vilnius . ||| Prominent designer de vêtements lituanien organise généralement ses collections présentations à Vilnius.
For example , if one worker designs cars and another builds them , the designer will use his cognitive skills more frequently than the builder . ||| Par exemple, si un travailleur conçoit des voitures et un autre les construit, le concepteur utilise ses compétences cognitives plus souvent que le constructeur.
In 2017 , it was reported that the designer of Comic Sans had only used his typeface once . ||| En 2017, il a été rapporté que le designer de Comic Sans n'avait utilisé qu'une seule fois son type-face.
Nilssen maintains that the ovens were designed by Torsten Hoff , a renowned designer of ovens , who established himself as a sculptor in Christiania in 1711 , working there until his 1754 death . ||| Nilssen maintient que les oiseaux ont été conçus par Torsten Hoff, un célèbre concepteur d'oiseaux, qui s'est établi comme sculpteur à Christiania en 1711, travaillant là jusqu'à sa mort en 1754.
There is a chance that additional information could impede the reusability of the service as the service consumer designer may streamline his design based on this knowledge . ||| Il y a une chance que des informations supplémentaires pourraient empêcher la réutilisation du service car le concepteur de service peut simplifier son design sur la base de ce savoir.
Elwood Engel , famous for being lead designer of the 1961 Lincoln Continental and for his work as chief designer at Chrysler in the 1960s , was Staff Stylist ( and consequently roamed all of the design studios ) at Ford during this period and worked very closely with John Najjar in developing not only the 1958 , but also the 1959 update . ||| Elwood Engel, célèbre pour être le designer principal de la 1961 Lincoln Continental et pour son travail comme designer principal à Chrysler dans les années 1960, était Staff Stylist (et par conséquent tourné tous les studios de design) à Ford pendant cette période et a travaillé très étroitement avec John Najjar dans le développement non seulement de la 1958, mais aussi de l'actualisation de 1959.
A successful and well known designer and craftsman in hand wrought silver jewelry by vocation , Joe 's greatest creative drive went into his work in sculpture . ||| Un designer et un artisan de succès et bien connu à la main enlevé des bijoux d'argent par vocation, le plus grand mouvement créatif de Joe est entré dans son travail de sculpture.
He , probably more than any designer knew his customer and understood her . " ||| Il, probablement plus que tout designer, connaissait son client et la comprenait. "
O. S. Nock describes it as ‘ the most disappointing and tactless act in his short and stormy career as CME , ’ and Allen stated ‘ he turned it into a machine of such hideous appearance as might well have made its designer turn in his grave . ||| O. S. Nock le décrit comme « l’acte le plus déçue et sans toucher dans sa courte et tempête carrière en tant que CME », et Allen a déclaré qu’il l’a transformé en une machine d’apparence tellement stupide qu’il pourrait bien avoir fait son designer tourner dans sa tombe.
In October 1998 , Hyundai complained to the BBC about what they described as " bigoted and racist " comments he made at the Birmingham Motor Show , where he was reported as saying that the people working on the Hyundai stand had " eaten a dog " and that the designer of the Hyundai XG had probably eaten a spaniel for his lunch . ||| En octobre 1998, Hyundai a plaint à la BBC sur ce qu’ils décrivent comme « bigoté et raciste » les commentaires qu’il a faits au Birmingham Motor Show, où il a été rapporté en disant que les gens qui travaillent sur le stand Hyundai avaient « mangé un chien » et que le concepteur de la Hyundai XG avait probablement mangé un espagnol pour son déjeuner.
In his " New York Times " review , Frank Rich wrote : " In his brilliant lighting ... the designer Dennis Parichy has captured the entire spectrum of weather known to habitues of New England beaches in August . ||| Dans sa révision du New York Times, Frank Rich a écrit : « Dans son éclairage brillant... le designer Dennis Parichy a capturé tout le spectre du temps connu aux habitudes des plages de Nouvelle-Angleterre en août.
Pfitzner , a “ designer of high - class gasoline motors , transmissions , and gears ” was employed by Glen Curtiss at his Hammondsport factory . ||| Pfitzner, un « concepteur de moteurs à essence de haute qualité, de transmission et de pneus » a été employé par Glen Curtiss dans sa usine Hammondsport.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Les concepteurs ont pu créer une pièce pour l'Italie, le Mexique ou la Thaïlande, avec une peinture qui peut être vide, ce qui permet à un concepteur de choisir le pays qu'il veut.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| Dans le cas précédent, les conducteurs d'appareil peuvent être demandés sur lesquels le concepteur système peut ou peut ne pas être en mesure de compter si il n'a pas de contrôle sur l'appareil client -LRB- comme dans le cas d'authentification à un site web public -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520-1601 ) était un sculpteur franc-comtois, entraîné en tant que " menuisier " ou travailleur en bois ; en tant que concepteur d'ornaments Manneristes, ses designs publiés, tels que " Oevvre de la diversite des termes, do nt on use en architecture, reduicts en ordres ", Lyon, 1572, inspiré des meubles de luxe, tels que des dressoires, des armoires et des cabinets.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| D'après les restes de la production de meubles, le jeune designer a commencé à créer des sacs de peau et des accessoires car il ne voulait pas gaspiller aucun matériau et a commencé à les vendre avec sa collection de meubles à des fêtes commerciales.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or est marié à Pazit, auparavant un designer de bijoux et maintenant son manager.
Trinidadian designer Peter Minshall is renowned not only for his Carnival costumes but also for his role in opening ceremonies of the Barcelona Olympics , the 1994 FIFA World Cup , the 1996 Summer Olympics , and the 2002 Winter Olympics , for which he won an Emmy Award . ||| Peter Minshall est célèbre non seulement pour ses costumes carnaval, mais aussi pour son rôle dans les cérémonies d'ouverture des Jeux olympiques de Barcelone, de la Coupe du monde de la FIFA en 1994, des Jeux olympiques d'été de 1996 et des Jeux olympiques d'hiver de 2002, pour lesquels il a remporté un prix Emmy.
Alice and Ginevra show a perfect mastery of the runway in their respective performances and the designer points them as his own favorites . ||| Alice et Ginevra montrent une maîtrise parfaite de la course dans leurs performances respectives et le designer les considère comme ses propres favoris.
Designer Gutzon Borglum constantly praised Luigi for his great abilities as a classically trained stone carver : " He is worth any three men in America for this particular type of work . " ||| Designer Gutzon Borglum a constamment loué Luigi pour ses grandes capacités en tant que carrier de pierre classiquement entraîné : « Il vaut la peine de trois hommes en Amérique pour ce type de travail particulier. »
When the hydro bus disintegrated on landing , the chief designer and his assistant were strapped into the G-45 for a test drop ; they survived , but the project was cancelled . ||| Lorsque le bus hydro s'est désintégré lors de l'atterrissage, le concepteur principal et son assistant ont été emmenés dans le G-45 pour une descente de test ; ils ont survécu, mais le projet a été annulé.
Fashion designer Paul Poiret commented in his autobiography " King of Fashion " , " I shall always see Mounet - Sully in " Oedipus Rex " , blind , coming down the steps of the temple , and saying in a suave voice : ' Children of ancient Cadmus , young successors . . . ' ||| Designer de la mode Paul Poiret a commenté dans son autobiographie « Roi de la mode », « Je verrai toujours Mounet - Sully dans « Oedipus Rex », aveugle, descendant les pas du temple, et disant avec une voix douce : « Les enfants de l’ancien Cadmus, jeunes successeurs ».
He appeared on the cover of MIDWEEK and at 23 was called `` AMERICA ' S HOTTEST DESIGNER '' that fall he was the winner of the VH1 Reality Show called `` Glam GOD '' hosted by Vivica A . ||| Il apparaît sur la couverture de MIDWEEK et à 23 a été appelé « AMERICA » S HOTTEST DESIGNER » ce mois-ci il a été le vainqueur du VH1 Reality Show appelé « Glam GOD » hébergé par Vivica A.
Benjamin George Bowden ( 3 June 1906 – 6 March 1998 ) was a British industrial designer , who is known mostly for his work on automobiles and bicycles . ||| Benjamin George Bowden (3 juin 1906 – 6 mars 1998) était un designer industriel britannique, connu principalement pour son travail sur les voitures et les vélos.
The Soviets also captured schematics for the gun and the designer himself . ||| Les Soviets ont également capturé des schémas pour l'arme et le concepteur lui-même.
The former chief designer of Audi Hartmut Warkuss saw his talent and potential immediately and offered him a scholarship for the Royal College of Art in London , the international elite college in design . ||| L'ancien chef de la conception d'Audi Hartmut Warkuss a vu son talent et son potentiel immédiatement et lui a offert une bourse pour le Royal College of Art à Londres, l'élite internationale de la faculté de design.
In Italy , the designer Gio Ponti was famous for his streamlined designs . ||| En Italie, le designer Gio Ponti était célèbre pour ses designs rigoureux.
Tom Tjaarda ( July 23 , 1934 – June 2 , 2017 ) was an automobile designer noted for his work on a broad range of automobiles — estimated at over eighty — from exotic sports cars including the Ferrari 365 California , De Tomaso Pantera and Aston Martin Lagonda Coupé to high - volume popular cars including the first generation Ford Fiesta ( 1972 ) and the Fiat 124 Spider ( 1966 ) . ||| Tom Tjaarda (23 juillet 1934 – 2 juin 2017) était un designer automobile noté pour son travail sur un large éventail de voitures - estimées à plus de huit - de voitures sportives exotiques telles que la Ferrari 365 Californie, De Tomaso Pantera et Aston Martin Lagonda Coupé à haut volume - voitures populaires telles que la première génération Ford Fiesta (1972) et la Fiat 124 Spider (1966).
The designer of the structure is unknown , however , it was possibly Jensen himself , or his friend , prairie school architect Hugh Garden . ||| Le concepteur de la structure est inconnu, cependant, il était peut-être Jensen lui-même, ou son ami, l'architecte de l'école de prairie Hugh Garden.
Aside from music , Shelby is a UX Designer / Graphic Designer / Painter and his work spans from album layouts ( most notably Ire Works by The Dillinger Escape Plan ) , logos and interface designs . ||| En dehors de la musique, Shelby est un UX Designer / Graphic Designer / Painter et son travail s'étend des layouts d'album (plus particulièrement Ire Works par The Dillinger Escape Plan ), des logos et des conceptions d'interface.
There were two dirt track race cars called " Jimmy " and " Jimmy , Jr. " after the chief designer and his son . ||| Il y avait deux voitures de course de piste durs appelées " Jimmy " et " Jimmy, Jr. " après le concepteur principal et son fils.
The rifle 's designer , Mikhail Kalashnikov lived in Izhevsk until his death in 2013 . ||| Le concepteur de l'armure, Mikhail Kalashnikov vivait à Izhevsk jusqu'à sa mort en 2013.
He trained from 1701 to 1702 with the Brussels tapestry designer Lodewijk van Schoor who had established himself in Antwerp in 1696 . ||| Il a formé de 1701 à 1702 avec le designer de tapis de Bruxelles Lodewijk van Schoor qui s'est établi à Antwerp en 1696.
In 2014 , American firearms designer Jim Sullivan provided a video interview regarding his contributions to the M16 / M4 family of rifles when working for Armalite . ||| En 2014, le concepteur américain d'armes à feu Jim Sullivan a fourni une interview vidéo sur ses contributions à la famille des armes M16 / M4 quand il travaille pour Armalite.
Lithgow was chief draughtsman - designer and his work was crucial to their strategy of standardising hull shapes and components , thus increasing efficiency and profitability . ||| Lithgow était le chef de la conception - concepteur et son travail a été crucial pour leur stratégie de normaliser les formes et les composants des trous, ce qui augmente l'efficacité et la rentabilité.
His father was a movie theatre projector designer and his grandfather made parts for phonograph machines . ||| Son père était un concepteur de projecteur du cinéma et son grand-père faisait des pièces pour les machines phonographiques.
Mayén was an industrial designer , and following his graduation from Columbia , taught classes in advertising design at his alma mater , Cooper Union , and The New School , both in Manhattan . ||| Mayén était un designer industriel, et après son diplôme de Columbia, enseignait des cours de conception publicitaire à son alma mater, Cooper Union et The New School, à la fois à Manhattan.
The designer saw his original clothing at the National Museum of Costume . ||| Le designer a vu son vêtement original au Musée national de costume.
Indeed , models basically play the same role in economics as in fashion : they provide an articulated frame on which to show off your material to advantage ... ; a useful role , but fraught with the dangers that the designer may get carried away by his personal inclination for the model , while the customers may forget that the model is more streamlined than reality . ||| En fait, les modèles jouent essentiellement le même rôle dans l'économie que dans la mode : ils fournissent un cadre articulé sur lequel montrer votre matériel à l'avantage... ; un rôle utile, mais frappé avec les dangers que le designer peut être porté par sa inclination personnelle pour le modèle, tandis que les clients peuvent oublier que le modèle est plus rigoureux que la réalité.
Despite his initial anger , the designer , Walter Allward , sees amazing carving skills within Klara , and how the portrait of the young man 's face increases the much desired allegory for those youthful men who were lost in the war . ||| Malgré sa colère initiale, le concepteur, Walter Allward, voit des compétences incroyables dans Klara, et comment le portrait du visage du jeune homme augmente l'allégorie très désirée pour ces jeunes hommes qui ont été perdus dans la guerre.
Internationally acclaimed Ghanaian - British designer Ozwald Boateng introduced African print suits in his 2012 collection . ||| Ghanaian internationalement célèbre - le designer britannique Ozwald Boateng a introduit des suites d'impression africaines dans sa collection 2012.
The designer Romeo Gigli used me as his muse , and designed an entire collection on me . ||| Le designer Romeo Gigli m'a utilisé comme son musée, et a conçu une collection entière sur moi.
In his book , " Craft of Gardens " , the garden designer Ji Cheng wrote : " The spirit and the charm of mountains and forests must be studied in depth ; ... only the knowledge of the real permits the creation of the artificial , so that the work created possesses the spirit of the real , in part because of divine inspiration , but especially because of human effort . ||| Dans son livre, « Craft of Gardens », le jardinier Ji Cheng a écrit : « L’esprit et le charme des montagnes et des forêts doivent être étudiés en profondeur ;... seulement la connaissance du vrai permet la création du artificiel, de sorte que l’œuvre créée possède l’esprit du réel, en partie à cause de l’inspiration divine, mais surtout à cause de l’effort humain.
Fashion designer Jasper Conran is his son with his second wife , writer Shirley Conran . ||| Designer de mode Jasper Conran est son fils avec sa deuxième femme, l'écrivain Shirley Conran.
Costume designer William Ware Theiss began working on new designs for the Starfleet uniforms , some based on his creations for " The Original Series " , others being a radical departure . ||| Costume designer William Ware Theiss a commencé à travailler sur de nouveaux designs pour les uniformes Starfleet, certains basés sur ses créations pour " The Original Series ", d'autres étant un départ radical.
The game 's designer , Phil Fish , became renowned in a way unusual for game developers due to his prominence in " " , which released in 2012 . ||| Le concepteur du jeu, Phil Fish, est devenu célèbre d'une manière inhabituelle pour les développeurs de jeux en raison de sa réputation dans " ", qui a été sorti en 2012.
Billionaire industrial designer , and founder of the Dyson company , James Dyson has pledged his support for the project . ||| Billionaire designer industriel, et fondateur de la société Dyson, James Dyson a promis son soutien pour le projet.
Philip Anthony Treacy ( born 26 May 1967 ) is an Irish award - winning haute couture milliner , or hat designer , who has been mostly based in London for his career , and who was described by " Vogue " magazine as " perhaps the greatest living milliner " . ||| Philip Anthony Treacy (né le 26 mai 1967) est un prix irlandais - gagnant haute couture milliner, ou designer de chapeaux, qui a été principalement basé à Londres pour sa carrière, et qui a été décrit par la revue Vogue comme "probablement le plus grand milliner vivant ".
During the first years of the SECR , express passenger services were well served by Wainwright ' s ' D ' and ' E ' 4-4-0 classes but loads continued to increase and by 1912 the designer realised that he would soon need more powerful locomotives . ||| Au cours des premières années de la SECR, les services de passagers express étaient bien servi par les classes d'E et d'E 4-4-0 de Wainwright, mais les charges continuent d'augmenter et en 1912 le concepteur a réalisé qu'il aurait bientôt besoin de locomotives plus puissantes.
Macdonald 's training as a designer and his interest in children 's paintings encouraged his experimentation with abstract art . ||| Macdonald's formation en tant que concepteur et son intérêt pour les peintures des enfants a encouragé son expérimentation avec l'art abstrait.
Francesco Laparelli was the city 's principal designer and his plan departed from medieval Maltese architecture , which exhibited irregular winding streets and alleys . ||| Francesco Laparelli était le principal concepteur de la ville et son plan s'est retiré de l'architecture maltaise médiévale, qui a montré des rues et des aléas irréguliers.
Every year , the designer takes his guests into a surreal world . ||| Chaque année, le designer emmène ses invités dans un monde surréaliste.
As the lead designer in the firm Bebb and Gould , with his partner , Charles H. Bebb , Gould was responsible for many notable Pacific Northwest buildings , such as the original Seattle Art Museum and for the campus plan of the University of Washington . ||| En tant que concepteur principal de la firme Bebb et Gould, avec son partenaire, Charles H. Bebb, Gould était responsable de nombreux bâtiments notables du Pacifique Nord-Ouest, tels que l'original Seattle Art Museum et pour le plan de campus de l'Université de Washington.
Fashion designer Paul Poiret played himself . ||| Designer de la mode Paul Poiret a joué lui-même.
In this session , the designer Charles - Nicolas Cochin was also admitted for his design of that print . ||| Dans cette session, le designer Charles-Nicolas Cochin a également été admis pour son design de cette imprimante.
In 2010 , the designer presented his forth collection , " Slave " , as a part of Fashion East Menswear Installation . ||| En 2010, le concepteur a présenté sa première collection, " Slave ", dans le cadre de Fashion East Menswear Installation.
Michael McDonald ( born c. 1963 ) is an American costume designer who was nominated for both a Tony Award and a Drama Desk Award in 2009 for his work on the Broadway revival of the musical " Hair " . ||| Michael McDonald (né en 1963) est un designer de costumes américain qui a été nominé à la fois pour un Tony Award et un Drama Desk Award en 2009 pour son travail sur la revival de Broadway du musical " Hair ".
The designer of the game , Kevin Wilson , claims that he can win equally well no matter which team he is playing . ||| Le concepteur du jeu, Kevin Wilson, affirme qu'il peut gagner aussi bien qu'il ne compte pas quelle équipe il joue.
The head designer discussed his casting : " It seemed like a great idea to me , as casting through Instagram seemed cool , current and strong . ||| Le concepteur principal a discuté de son casting : " Cela semblait une excellente idée pour moi, car le casting via Instagram semblait cool, actuel et fort.
The fashion designer Alexander McQueen committed suicide by hanging himself at his flat in 7 Green Street in 2010 . ||| Le designer de la mode Alexander McQueen s'est suicidé en se pendant dans son appartement à 7 Green Street en 2010.
Fez " designer and Polytron founder Phil Fish gained celebrity status for his outspoken public persona and his prominence in the 2012 documentary " " , which detailed " Fez " final stages of development and Polytron 's related legal issues . ||| Fez " concepteur et fondateur de Polytron Phil Fish a obtenu le statut de célébrité pour sa personnalité publique remarquable et sa prominence dans le documentaire 2012 ", qui a détaillé " Fez " les étapes finales du développement et les questions juridiques liées à Polytron.
Production designer Simon Bowles won an award from the British Film Designers Guild on 27 January 2013 for his production design on this film . ||| Production designer Simon Bowles a remporté un prix du British Film Designers Guild le 27 janvier 2013 pour son design de production sur ce film.
The designer , Draper Kauffman , had been trying to develop a `` global strategy game '' for many years when he received a copy of Illuminati . ||| Le designer, Draper Kauffman, avait essayé de développer un « jeu de stratégie mondial » pendant de nombreuses années quand il a reçu une copie des Illuminati.
Mannara 's mother is a jewellery designer and her father is a lawyer . ||| La mère de Mannara est un designer de bijoux et son père un avocat.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, un designer de personnages shy qui a créé l'immensément populaire chien rose Maromi, se trouve sous pression pour répéter son succès.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| La designer de costumes Julie Weiss a également été nominée pour son travail, mais a perdu à James Acheson de "Restoration".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Cet événement a cimenté la partenariat croissante avec Stella Jean, comme le designer étend son travail à plus de pays où l’Initiative fonctionne :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| Le designer a ouvert sa première location de détail en 1992 à 113 Greene Street dans le Soho District de New York.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| La conceptrice de Dior Fine Jewelry Victoire de Castellane a lancé sa propre montre appelée « Le D de Dior » (en français : « Le D de Dior » ).
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Aujourd’hui, elle cherche à quitter son entreprise Donna Karan, moins d’un an après que le designer de la mode s’est retiré de sa marque de nom.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris était la destination finale pendant la saison d'émission d'hiver et le designer britannique Vivienne Westwood l'a fait le modèle principal dans son spectacle.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| C’est une designer de costume britannique, qui a été nominée aux Academy Awards pour ses dessins sur « Agatha » (1979) et « Reds » (1981).
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| À partir de ce moment-là, le designer a choisi sa façon très individuelle, soutenue par des partenaires forts comme The Space Cinema à Piazza Duomo e la Rinascente Milano en février 2020.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| La conceptrice Patricia Zipprodt a été nominée pour un Tony Award et un Drama Desk Award pour ses designs de costumes lors de la revival "Alice dans le pays des merveilles".
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| Le designer a également créé une ligne d'accessoires à la maison appelée Swell, basée sur une série de livres qu'elle a co-écrite avec son ami Ilene Rosenzweig, qui a fait son début à Target en 2003.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Son père, Raymond W. Lewis, Jr., était un designer aérospatial et sa mère, Dorothy Borwick Lewis McIntyre, un directeur de récréation.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Superstitique, elle a également insisté sur la salle de vêtements 55 parce que c'était son numéro de chance et a demandé à Hubert de Givenchy, son long-temps designer, d'être donné un crédit dans le film pour son parfum.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Un designer de vêtements auto-enseigné, Immonen a ouvert sa première boutique de design à Helsinki pendant la Seconde Guerre mondiale en 1942 qui a grandi dans un succès malgré les lacunes des années qui suivent.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Sa mère est un concepteur graphique et son père, qui est décédé quand Carré était adolescent, était un concepteur et un animateur juridique.
French designer and art collector Hubert de Givenchy worked with Lane on her first major coverage of European art and the art market . ||| Le designer et collectionneur d'art français Hubert de Givenchy a travaillé avec Lane sur sa première couverture majeure de l'art européen et du marché de l'art.
A Jewish interior designer living in New York City , she lives with her gay best friend , Will Truman ( played by Eric McCormack ) , for a majority of the series . ||| Une designer d'intérieur juive vivant à New York, elle vit avec son meilleur ami gay, Will Truman (en jouant Eric McCormack), pour une majorité de la série.
The fashion designer Izawa had made the long journey down with her own handmade wedding dress with the intention of fulfill the couple 's plans of marriage . ||| La conceptrice de la mode Izawa avait fait le long voyage avec sa propre robe de mariage à la main avec l'intention de réaliser les plans de mariage de la couple.
Her mother , Patricia MacTaggart , is a London - based interior designer and her father , Xavier Botana , is an Argentinian artist who lives in Buenos Aires . ||| Sa mère, Patricia MacTaggart, est une designer d'intérieur basée à Londres et son père, Xavier Botana, est un artiste argentin qui vit à Buenos Aires.
The designer identified Sévérine through her sexuality , and wanted to showcase the character as " sexy and exceptional and dark " by having her appear as naked as possible . ||| Le designer a identifié Sévérine à travers sa sexualité, et voulait montrer le personnage comme « sexy et exceptionnel et sombre » en la faisant apparaître le plus nue possible.
In 1926 , in her first year as a student at the famous Bauhaus design school in Dessau , Germany , the textile designer Margaretha Reichardt undertook a preliminary course run by Josef Albers and László Moholy - Nagy . ||| En 1926, dans son premier an en tant qu'étudiant à la célèbre école de design Bauhaus à Dessau, en Allemagne, la conceptrice textile Margaretha Reichardt a subi un cours préliminaire mené par Josef Albers et László Moholy - Nagy.
Her mother is a fashion designer and her father works in the construction industry . ||| Sa mère est un designer de mode et son père travaille dans l'industrie de la construction.
Costume designer Antonella Cannarozzi was nominated for an Academy Award for Best Costume Design for her work in the film , but the award went to Colleen Atwood for " Alice in Wonderland " . ||| La conceptrice de costumes Antonella Cannarozzi a été nommée pour un prix Academy for Best Costume Design pour son travail dans le film, mais le prix a été remis à Colleen Atwood pour " Alice in Wonderland ".
Dorothy Wright Liebes ( 14 October 1897 – 20 September 1972 ) was an American textile designer and weaver renowned for her innovative , custom - designed modern fabrics for architects and interior designers . ||| Dorothy Wright Liebes (14 octobre 1897 – 20 septembre 1972) était une designer américaine de textiles et de tissus connue pour ses tissus modernes innovants et personnalisés pour les architectes et les concepteurs d’intérieur.
A Hearst writer ghost wrote the newspaper page after 1918 , but the designer herself penned the " Good Housekeeping " and " Harper 's Bazaar " features throughout their duration , although the responsibility of producing a regular piece proved difficult , and she missed several deadlines . ||| Un fantôme de l'écrivain Hearst a écrit la page du journal après 1918, mais le concepteur lui-même a écrit les caractéristiques « Good Housekeeping » et « Harper's Bazaar » tout au long de leur durée, bien que la responsabilité de produire une pièce régulière ait été difficile, et elle a manqué plusieurs délais.
Her mother was an interior designer and her father a " pied noir " and a real estate agent . ||| Sa mère était un designer d’intérieur et son père un « pied noir » et un agent immobilier.
The designer first gained international recognition in 2000 with her collection „ Déclaration d’amour à l’Allemagne “ . ||| La conceptrice a obtenu pour la première fois la reconnaissance internationale en 2000 avec sa collection « Déclaration d’amour à l’Allemagne ».
The designer also draws on her studies of Bohemianism , Dark Romanticism , and love for the literature , art and music of the Decadent movement . ||| Le designer attire également ses études sur le bohémianisme, le romanticisme sombre et l'amour pour la littérature, l'art et la musique du mouvement décadent.
AG Hair was founded in 1989 by Lotte Davis , a South African - born graphic designer and her husband John Davis , a hairdresser from Liverpool , in their North Vancouver basement . ||| AG Hair a été fondée en 1989 par Lotte Davis, un graphiste sud-africain né et son mari John Davis, un coiffeur de Liverpool, dans leur bassin de Vancouver du Nord.
Everything is produced in Moscow under the strict control of the designer herself . ||| Tout est produit à Moscou sous le strict contrôle du concepteur lui-même.
Fashion designer Valentino once commented on her physical resemblance to Marlene Dietrich . ||| Le designer de mode Valentino a commenté une fois sur sa ressemblance physique à Marlene Dietrich.
Kanai was born in 1978 to parents with artistic backgrounds , her father being a graphic designer and her mother working for the Japanese fashion designer Issey Miyake . ||| Kanai est née en 1978 à des parents avec un fond artistique, son père est un designer graphique et sa mère travaille pour le designer de la mode japonais Issey Miyake.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Aucun directeur, choreographe, designer de set ou designer de costume n’a été recruté comme dans ses jours en tant que réalisateur de carrière.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| En 1993, un concepteur graphique de Beverly Hills qui a dit qu'elle avait une relation entre 1985 et 1991 avec Sharkey a annoncé qu'elle était à la recherche de l'immobilier de Sharkey.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| La conceptrice Nicole Miller a utilisé Lynn's " The Last High ( Y - Tron Remix ) " pour sa campagne de printemps 2013.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| Des concepteurs de costumes Daphne Dare a utilisé une licence artistique avec ses costumes dans la série, puisque les Aztecs masculins n'avaient généralement que de courts coussins et de cloaks, tandis que les femmes étaient souvent impitoyables.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Sa mère, Tessa, un designer d'intérieur a passé du temps avec ses enfants jouant au tennis pendant leur enfance.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Sa grand-mère maternelle était un designer talentueux elle-même, et elle a montré le talent en tant que jeune fille dans le dessin et la fabrication de vêtements pour ses poupées.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Anne Fogarty (2 février 1919 – 15 janvier 1980) était un designer de mode américain, actif des années 1940 et 1980, qui a été noté pour ses concepts sous-estimés qui étaient accessibles aux femmes américaines à un revenu limité.
