Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's Mutter ist eine Schmuckdesignerin und ihr Vater ist ein Anwalt.
The designers were able to create a room for Italy , Mexico or Thailand , with one paint can being empty , which let that one designer choose whatever country he wanted . ||| Die Designer waren in der Lage, einen Raum für Italien, Mexiko oder Thailand zu schaffen, mit einer Farbe kann leer sein, die lassen, dass ein Designer wählen, welches Land er wollte.
In the former case , device drivers may be required which the system designer may or may not be able to rely on if he has no control over the client device -LRB- as in the case of authentication to a public website -RRB- . ||| Im ersten Fall können Gerätetreiber erforderlich sein, auf die sich der Systemdesigner verlassen kann oder nicht kann, wenn er keine Kontrolle über das Client-Gerät hat -LRB- wie im Falle der Authentifizierung auf einer öffentlichen Website -RRB-.
1520–1601 ) was a Franc - comtois sculptor , trained as a " menuisier " or wood - worker ; as a designer of Mannerist ornaments , his published designs , such as " Oevvre de la diversite des termes , do nt on use en architecture , reduicts en ordres " , Lyon , 1572 , inspired luxury furnishings , such as dressoires , armoires and cabinets . ||| 1520–1601) war ein Franc - Comtois Bildhauer, ausgebildet als "Menüier " oder Holz - Arbeiter; als Designer von manneristischen Ornamenten, seine veröffentlichten Designs, wie " Oevvre de la diversite des termes, tun nt über die Verwendung en Architektur, Reduicts en ordres ", Lyon, 1572, inspirierte Luxus-Möbel, wie dressoires, Schranken und Schränke.
From the leftovers of the furniture production the young designer started to create leather bags and accessoires since he did not want to waste any material and started to sell them along with his furniture collection at trade fairs . ||| Aus den Resten der Möbelproduktion begann der junge Designer, Ledertaschen und Accessoires herzustellen, da er kein Material verschwenden wollte und sie zusammen mit seiner Möbelkollektion auf Messen zu verkaufen begann.
D'Or is married to Pazit , formerly a jewelry designer and now his manager . ||| D'Or ist verheiratet mit Pazit, ehemals Schmuckdesigner und jetzt sein Manager.
Trinidadian designer Peter Minshall is renowned not only for his Carnival costumes but also for his role in opening ceremonies of the Barcelona Olympics , the 1994 FIFA World Cup , the 1996 Summer Olympics , and the 2002 Winter Olympics , for which he won an Emmy Award . ||| Der Trinidad-Designer Peter Minshall ist nicht nur für seine Karnevalskostüme bekannt, sondern auch für seine Rolle bei der Eröffnung der Olympischen Spiele in Barcelona, der FIFA-Weltmeisterschaft 1994, den Olympischen Sommerspielen 1996 und den Olympischen Winterspielen 2002, für die er einen Emmy Award gewann.
Alice and Ginevra show a perfect mastery of the runway in their respective performances and the designer points them as his own favorites . ||| Alice und Ginevra zeigen eine perfekte Beherrschung der Start- und Landebahn in ihren jeweiligen Performances und der Designer zeigt sie als seine eigenen Favoriten.
Designer Gutzon Borglum constantly praised Luigi for his great abilities as a classically trained stone carver : " He is worth any three men in America for this particular type of work . " ||| Designer Gutzon Borglum lobte Luigi ständig für seine großen Fähigkeiten als klassisch ausgebildeter Steinschnitzer: "Er ist wert alle drei Männer in Amerika für diese besondere Art von Arbeit. "
When the hydro bus disintegrated on landing , the chief designer and his assistant were strapped into the G-45 for a test drop ; they survived , but the project was cancelled . ||| Als der Hydrobus bei der Landung zerfiel, wurden der Chefdesigner und sein Assistent für einen Testfall in die G-45 eingeschnallt; sie überlebten, aber das Projekt wurde abgesagt.
Fashion designer Paul Poiret commented in his autobiography " King of Fashion " , " I shall always see Mounet - Sully in " Oedipus Rex " , blind , coming down the steps of the temple , and saying in a suave voice : ' Children of ancient Cadmus , young successors . . . ' ||| Modedesigner Paul Poiret kommentierte in seiner Autobiographie "König der Mode ", " Ich werde immer sehen, Mounet - Sully in " Ödipus Rex ", blind, kommen die Stufen des Tempels, und sagen in einer suave Stimme:'Kinder des alten Cadmus, junge Nachfolger.....
He appeared on the cover of MIDWEEK and at 23 was called `` AMERICA ' S HOTTEST DESIGNER '' that fall he was the winner of the VH1 Reality Show called `` Glam GOD '' hosted by Vivica A . ||| Er erschien auf dem Cover von MIDWEEK und mit 23 hieß er `` AMERICA 'S HOTTEST DESIGNER '', dass Herbst war er der Gewinner der VH1 Reality Show namens `` Glam GOD '' von Vivica A gehostet.
Benjamin George Bowden ( 3 June 1906 – 6 March 1998 ) was a British industrial designer , who is known mostly for his work on automobiles and bicycles . ||| Benjamin George Bowden (* 3. Juni 1906 in London; † 6. März 1998 in London) war ein britischer Industriedesigner, der vor allem für seine Arbeit an Automobilen und Fahrrädern bekannt ist.
The Soviets also captured schematics for the gun and the designer himself . ||| Die Sowjets nahmen auch Schaltpläne für die Waffe und den Designer selbst ein.
The former chief designer of Audi Hartmut Warkuss saw his talent and potential immediately and offered him a scholarship for the Royal College of Art in London , the international elite college in design . ||| Der ehemalige Chefdesigner von Audi Hartmut Warkuss sah sein Talent und Potenzial sofort und bot ihm ein Stipendium für das Royal College of Art in London an, die internationale Elitehochschule im Design.
In Italy , the designer Gio Ponti was famous for his streamlined designs . ||| In Italien war der Designer Gio Ponti für seine stromlinienförmigen Designs berühmt.
Tom Tjaarda ( July 23 , 1934 – June 2 , 2017 ) was an automobile designer noted for his work on a broad range of automobiles — estimated at over eighty — from exotic sports cars including the Ferrari 365 California , De Tomaso Pantera and Aston Martin Lagonda Coupé to high - volume popular cars including the first generation Ford Fiesta ( 1972 ) and the Fiat 124 Spider ( 1966 ) . ||| Tom Tjaarda (23. Juli 1934 – 2. Juni 2017) war ein Automobildesigner, der für seine Arbeit an einer breiten Palette von Automobilen – geschätzt auf über achtzig – von exotischen Sportwagen wie dem Ferrari 365 California, De Tomaso Pantera und Aston Martin Lagonda Coupé bis hin zu hochvolumigen beliebten Autos wie der ersten Generation Ford Fiesta (1972) und dem Fiat 124 Spider (1966) bekannt war.
The designer of the structure is unknown , however , it was possibly Jensen himself , or his friend , prairie school architect Hugh Garden . ||| Der Designer der Struktur ist unbekannt, jedoch, es war möglicherweise Jensen selbst, oder sein Freund, Prärie Schule Architekt Hugh Garden.
Aside from music , Shelby is a UX Designer / Graphic Designer / Painter and his work spans from album layouts ( most notably Ire Works by The Dillinger Escape Plan ) , logos and interface designs . ||| Neben der Musik ist Shelby ein UX Designer / Graphic Designer / Painter und seine Arbeit reicht von Albumlayouts (insbesondere Ire Works von The Dillinger Escape Plan ), Logos und Interface Designs.
There were two dirt track race cars called " Jimmy " and " Jimmy , Jr. " after the chief designer and his son . ||| Es gab zwei Dirt Track Rennwagen namens " Jimmy " und " Jimmy, Jr. " nach dem Chefdesigner und seinem Sohn.
The rifle 's designer , Mikhail Kalashnikov lived in Izhevsk until his death in 2013 . ||| Das Gewehr's Designer, Michail Kalaschnikov lebte in Izhevsk bis zu seinem Tod im Jahr 2013.
He trained from 1701 to 1702 with the Brussels tapestry designer Lodewijk van Schoor who had established himself in Antwerp in 1696 . ||| Er trainierte von 1701 bis 1702 bei dem Brüsseler Wandteppichdesigner Lodewijk van Schoor, der sich 1696 in Antwerpen niedergelassen hatte.
In 2014 , American firearms designer Jim Sullivan provided a video interview regarding his contributions to the M16 / M4 family of rifles when working for Armalite . ||| 2014 gab der amerikanische Waffendesigner Jim Sullivan ein Videointerview über seine Beiträge zur Waffenfamilie M16 / M4 bei der Arbeit für Armalite.
Lithgow was chief draughtsman - designer and his work was crucial to their strategy of standardising hull shapes and components , thus increasing efficiency and profitability . ||| Lithgow war Chief Draughtsman - Designer und seine Arbeit war entscheidend für ihre Strategie der Standardisierung Rumpfformen und Komponenten, wodurch die Effizienz und Rentabilität.
His father was a movie theatre projector designer and his grandfather made parts for phonograph machines . ||| Sein Vater war ein Filmtheaterprojektor-Designer und sein Großvater machte Teile für Phonographenmaschinen.
Mayén was an industrial designer , and following his graduation from Columbia , taught classes in advertising design at his alma mater , Cooper Union , and The New School , both in Manhattan . ||| Mayén war ein Industriedesigner, und nach seinem Abschluss von Columbia, unterrichtete Klassen in Werbedesign an seiner Alma Mater, Cooper Union, und The New School, beide in Manhattan.
The designer saw his original clothing at the National Museum of Costume . ||| Der Designer sah seine ursprüngliche Kleidung im National Museum of Costume.
Indeed , models basically play the same role in economics as in fashion : they provide an articulated frame on which to show off your material to advantage ... ; a useful role , but fraught with the dangers that the designer may get carried away by his personal inclination for the model , while the customers may forget that the model is more streamlined than reality . ||| In der Tat, Modelle spielen im Grunde die gleiche Rolle in der Wirtschaft wie in der Mode: sie bieten einen artikulierten Rahmen, auf dem Ihr Material zum Vorteil zu zeigen...; eine nützliche Rolle, aber mit den Gefahren, die der Designer kann von seiner persönlichen Neigung für das Modell getragen werden, während die Kunden vergessen, dass das Modell ist schlanker als die Realität.
Despite his initial anger , the designer , Walter Allward , sees amazing carving skills within Klara , and how the portrait of the young man 's face increases the much desired allegory for those youthful men who were lost in the war . ||| Trotz seiner anfänglichen Wut, der Designer, Walter Allward, sieht erstaunliche Schnitzkünste innerhalb Klara, und wie das Porträt des jungen Mannes Gesicht erhöht die begehrte Allegorie für die jugendlichen Männer, die im Krieg verloren waren.
Internationally acclaimed Ghanaian - British designer Ozwald Boateng introduced African print suits in his 2012 collection . ||| International gefeiert ghanaisch - der britische Designer Ozwald Boateng führte afrikanische Printanzüge in seine Kollektion 2012 ein.
The designer Romeo Gigli used me as his muse , and designed an entire collection on me . ||| Der Designer Romeo Gigli benutzte mich als seine Muse und entwarf eine ganze Kollektion auf mir.
In his book , " Craft of Gardens " , the garden designer Ji Cheng wrote : " The spirit and the charm of mountains and forests must be studied in depth ; ... only the knowledge of the real permits the creation of the artificial , so that the work created possesses the spirit of the real , in part because of divine inspiration , but especially because of human effort . ||| In seinem Buch, "Handwerk der Gärten ", schrieb der Garten-Designer Ji Cheng: "Der Geist und der Charme der Berge und Wälder müssen in der Tiefe studiert werden;... nur das Wissen der realen erlaubt die Schaffung der künstlichen, so dass die geschaffene Arbeit besitzt den Geist der realen, zum Teil wegen der göttlichen Inspiration, aber vor allem wegen der menschlichen Anstrengung.
Fashion designer Jasper Conran is his son with his second wife , writer Shirley Conran . ||| Modedesigner Jasper Conran ist sein Sohn mit seiner zweiten Frau, dem Schriftsteller Shirley Conran.
Costume designer William Ware Theiss began working on new designs for the Starfleet uniforms , some based on his creations for " The Original Series " , others being a radical departure . ||| Der Kostümdesigner William Ware Theiss begann mit der Arbeit an neuen Designs für die Starfleet Uniformen, einige basierend auf seinen Kreationen für "The Original Series ", andere sind ein radikaler Abgang.
The game 's designer , Phil Fish , became renowned in a way unusual for game developers due to his prominence in " " , which released in 2012 . ||| Das Spiel's Designer, Phil Fish, wurde bekannt in einer Weise ungewöhnlich für Spieleentwickler aufgrund seiner Prominenz in " ", die im Jahr 2012 veröffentlicht.
Billionaire industrial designer , and founder of the Dyson company , James Dyson has pledged his support for the project . ||| Milliardär Industriedesigner, und Gründer der Firma Dyson, James Dyson hat seine Unterstützung für das Projekt zugesagt.
Philip Anthony Treacy ( born 26 May 1967 ) is an Irish award - winning haute couture milliner , or hat designer , who has been mostly based in London for his career , and who was described by " Vogue " magazine as " perhaps the greatest living milliner " . ||| Philip Anthony Treacy (geboren am 26. Mai 1967) ist ein irischer preisgekrönter Haute Couture Milliner, oder Hutdesigner, der vor allem in London für seine Karriere ansässig war und von der Zeitschrift Vogue als "vielleicht der größte lebende Milliner" beschrieben wurde.
During the first years of the SECR , express passenger services were well served by Wainwright ' s ' D ' and ' E ' 4-4-0 classes but loads continued to increase and by 1912 the designer realised that he would soon need more powerful locomotives . ||| In den ersten Jahren der SECR wurden Express-Fahrgastdienste von Wainwright's'D'und'E'4-4-0 Klassen gut bedient, aber die Lasten weiter zu erhöhen und bis 1912 der Designer erkannte, dass er bald mehr leistungsstarke Lokomotiven benötigen würde.
Macdonald 's training as a designer and his interest in children 's paintings encouraged his experimentation with abstract art . ||| Macdonald's Ausbildung als Designer und sein Interesse an Kindern's Gemälde ermutigt sein Experimentieren mit abstrakten Kunst.
Francesco Laparelli was the city 's principal designer and his plan departed from medieval Maltese architecture , which exhibited irregular winding streets and alleys . ||| Francesco Laparelli war der wichtigste Designer der Stadt und sein Plan ging von der mittelalterlichen maltesischen Architektur, die unregelmäßig gewundenen Straßen und Gassen ausgestellt.
Every year , the designer takes his guests into a surreal world . ||| Jedes Jahr nimmt der Designer seine Gäste in eine surreale Welt mit.
As the lead designer in the firm Bebb and Gould , with his partner , Charles H. Bebb , Gould was responsible for many notable Pacific Northwest buildings , such as the original Seattle Art Museum and for the campus plan of the University of Washington . ||| Als Lead Designer in der Firma Bebb und Gould, mit seinem Partner, Charles H. Bebb, Gould war verantwortlich für viele bemerkenswerte Pacific Northwest Gebäude, wie das ursprüngliche Seattle Art Museum und für den Campus-Plan der University of Washington.
Fashion designer Paul Poiret played himself . ||| Modedesigner Paul Poiret spielte sich selbst.
In this session , the designer Charles - Nicolas Cochin was also admitted for his design of that print . ||| In dieser Session wurde auch der Designer Charles - Nicolas Cochin für sein Design dieses Drucks zugelassen.
In 2010 , the designer presented his forth collection , " Slave " , as a part of Fashion East Menswear Installation . ||| Im Jahr 2010 präsentierte der Designer seine vierte Kollektion, "Slave ", als Teil von Fashion East Menswear Installation.
Michael McDonald ( born c. 1963 ) is an American costume designer who was nominated for both a Tony Award and a Drama Desk Award in 2009 for his work on the Broadway revival of the musical " Hair " . ||| Michael McDonald (geb. 1963) ist ein US-amerikanischer Kostümdesigner, der 2009 für seine Arbeit an der Broadway-Wiederbelebung des Musicals "Haar" für einen Tony Award und einen Drama Desk Award nominiert wurde.
The designer of the game , Kevin Wilson , claims that he can win equally well no matter which team he is playing . ||| Der Designer des Spiels, Kevin Wilson, behauptet, dass er gleich gut gewinnen kann, egal welches Team er spielt.
The head designer discussed his casting : " It seemed like a great idea to me , as casting through Instagram seemed cool , current and strong . ||| Der Chefdesigner diskutierte seine Casting: "Es schien wie eine tolle Idee für mich, als Casting durch Instagram schien cool, Strom und stark.
The fashion designer Alexander McQueen committed suicide by hanging himself at his flat in 7 Green Street in 2010 . ||| Der Modedesigner Alexander McQueen beging Selbstmord, indem er sich 2010 in seiner Wohnung in der 7 Green Street erhängte.
Fez " designer and Polytron founder Phil Fish gained celebrity status for his outspoken public persona and his prominence in the 2012 documentary " " , which detailed " Fez " final stages of development and Polytron 's related legal issues . ||| Fez "Designer und Polytron-Gründer Phil Fish gewann Berühmtheit Status für seine ausgesprochene öffentliche Person und seine Bedeutung in der Dokumentation 2012 " ", die detaillierte " Fez " final stages of development und Polytron's verwandten rechtlichen Fragen.
Production designer Simon Bowles won an award from the British Film Designers Guild on 27 January 2013 for his production design on this film . ||| Der Produktionsdesigner Simon Bowles wurde am 27. Januar 2013 von der British Film Designers Guild für sein Produktionsdesign für diesen Film ausgezeichnet.
The designer , Draper Kauffman , had been trying to develop a `` global strategy game '' for many years when he received a copy of Illuminati . ||| Der Designer, Draper Kauffman, hatte seit vielen Jahren versucht, ein `` globales Strategiespiel '' zu entwickeln, als er eine Kopie von Illuminaten erhielt.
Mannara 's mother is a jewellery designer and her father is a lawyer . ||| Mannara's Mutter ist Schmuckdesignerin und ihr Vater ist Anwalt.
Tsukiko Sagi , a shy character designer who created the immensely popular pink dog Maromi , finds herself under pressure to repeat her success . ||| Tsukiko Sagi, ein schüchterner Charakter-Designer, der den ungeheuer beliebten rosa Hund Maromi kreiert hat, steht unter Druck, ihren Erfolg zu wiederholen.
Costume designer Julie Weiss was also nominated for her work , but lost out to James Acheson of " Restoration " . ||| Kostümdesignerin Julie Weiss wurde auch für ihre Arbeit nominiert, verlor aber an James Acheson von "Restaurierung".
This event cemented the growing partnership with Stella Jean , as the designer is expanding her work to more countries where the Initiative works : ||| Diese Veranstaltung zementierte die wachsende Partnerschaft mit Stella Jean, da die Designerin ihre Arbeit in weitere Länder ausweitet, in denen die Initiative funktioniert :
The designer opened her first retail location in 1992 at 113 Greene Street in New York City 's Soho District . ||| Die Designerin eröffnete 1992 ihren ersten Einzelhandelsstandort an der 113 Greene Street in New York City's Soho District.
The designer of Dior Fine Jewelry Victoire de Castellane launched her own watch named " Le D de Dior " ( French : " The D of Dior " ) . ||| Die Designerin von Dior Fine Jewelry Victoire de Castellane hat ihre eigene Uhr namens "Le D de Dior" (Französisch: "The D of Dior ") auf den Markt gebracht.
Today she is looking to sell off its Donna Karan business , less than a year after the fashion designer stepped down from her namesake brand . ||| Heute will sie ihr Donna Karan-Geschäft verkaufen, weniger als ein Jahr nachdem die Modedesignerin von ihrer Namensvettermarke zurückgetreten ist.
Paris was the final destination during the winter show season and British designer Vivienne Westwood made her the lead model in her show . ||| Paris war während der Winterschausaison das Ziel und die britische Designerin Vivienne Westwood machte sie zum Leitmodell ihrer Show.
was a British costume designer , who was nominated for Academy Awards for her designs on " Agatha " ( 1979 ) and " Reds " ( 1981 ) . ||| war eine britische Kostümdesignerin, die für ihre Entwürfe "Agatha" (1979) und "Reds" (1981) für die Academy Awards nominiert wurde.
From that time the designer choosed her very individual way supperted by strong partners such as The Space Cinema in Piazza Duomo e la Rinascente Milano in february 2020 . ||| Von diesem Zeitpunkt an wählte die Designerin ihre ganz individuelle Art, von starken Partnern wie The Space Cinema in Piazza Duomo e la Rinascente Milano im Februar 2020 zu Abend zu essen.
Designer Patricia Zipprodt was nominated for a Tony Award and Drama Desk Award for her costume designs on the “ Alice in Wonderland ” revival . ||| Designerin Patricia Zipprodt wurde für ihre Kostüm-Designs für den Tony Award und den Drama Desk Award nominiert.
The designer also created a line of home accessories called Swell , based on a book series she co - wrote with friend Ilene Rosenzweig , which made its debut at Target in 2003 . ||| Die Designerin schuf auch eine Reihe von Wohnaccessoires namens Swell, basierend auf einer Buchserie, die sie zusammen mit der Freundin Ilene Rosenzweig schrieb, die 2003 ihr Debüt bei Target feierte.
Her father , Raymond W. Lewis , Jr. , was an aerospace designer and her mother , Dorothy Borwick Lewis McIntyre a recreation director . ||| Ihr Vater, Raymond W. Lewis Jr., war Luft- und Raumfahrtdesignerin und ihre Mutter, Dorothy Borwick Lewis McIntyre ein Freizeitdirektor.
Superstitious , she also insisted on dressing room 55 because that was her lucky number and required that Hubert de Givenchy , her long - time designer , be given a credit in the film for her perfume . ||| Abergläubisch, sie bestand auch auf Umkleideraum 55, weil das ihre Glückszahl war und verlangte, dass Hubert de Givenchy, ihre langjährige Designerin, im Film einen Kredit für ihr Parfüm erhalten würde.
A self - taught clothing designer , Immonen opened her first design boutique in Helsinki during World War II in 1942 which grew into a success despite the shortages of the ensuing years . ||| Als selbst unterrichtete Bekleidungsdesignerin eröffnete Immonen 1942 während des Zweiten Weltkriegs ihre erste Designboutique in Helsinki, die trotz des Mangels der folgenden Jahre zu einem Erfolg wurde.
Her mother is a graphic designer and her father , who died when Carré was a teenager , was a designer and forensic animator . ||| Ihre Mutter ist Grafikdesignerin und ihr Vater, der starb, als Carré ein Teenager war, war Designerin und forensische Animatorin.
French designer and art collector Hubert de Givenchy worked with Lane on her first major coverage of European art and the art market . ||| Der französische Designer und Kunstsammler Hubert de Givenchy arbeitete mit Lane an ihrer ersten großen Berichterstattung über europäische Kunst und den Kunstmarkt.
A Jewish interior designer living in New York City , she lives with her gay best friend , Will Truman ( played by Eric McCormack ) , for a majority of the series . ||| Eine jüdische Innenarchitektin, die in New York City lebt, lebt mit ihrem schwulen besten Freund Will Truman (gespielt von Eric McCormack), für eine Mehrheit der Serie.
The fashion designer Izawa had made the long journey down with her own handmade wedding dress with the intention of fulfill the couple 's plans of marriage . ||| Die Modedesignerin Izawa hatte die lange Reise mit ihrem eigenen handgefertigten Hochzeitskleid mit der Absicht gemacht, die Ehepläne des Paares zu erfüllen.
Her mother , Patricia MacTaggart , is a London - based interior designer and her father , Xavier Botana , is an Argentinian artist who lives in Buenos Aires . ||| Ihre Mutter, Patricia MacTaggart, ist eine Londoner Innenarchitektin und ihr Vater, Xavier Botana, ist eine argentinische Künstlerin, die in Buenos Aires lebt.
The designer identified Sévérine through her sexuality , and wanted to showcase the character as " sexy and exceptional and dark " by having her appear as naked as possible . ||| Die Designerin identifizierte Sévérine durch ihre Sexualität und wollte den Charakter als "sexuell und außergewöhnlich und dunkel" darstellen, indem sie so nackt wie möglich erscheinen ließ.
In 1926 , in her first year as a student at the famous Bauhaus design school in Dessau , Germany , the textile designer Margaretha Reichardt undertook a preliminary course run by Josef Albers and László Moholy - Nagy . ||| 1926, in ihrem ersten Jahr als Studentin an der berühmten Bauhaus-Designschule in Dessau, unternahm die Textildesignerin Margaretha Reichardt einen Vorkurs von Josef Albers und László Moholy - Nagy.
Her mother is a fashion designer and her father works in the construction industry . ||| Ihre Mutter ist Modedesignerin und ihr Vater arbeitet in der Bauindustrie.
Costume designer Antonella Cannarozzi was nominated for an Academy Award for Best Costume Design for her work in the film , but the award went to Colleen Atwood for " Alice in Wonderland " . ||| Kostümdesignerin Antonella Cannarozzi wurde für ihre Arbeit im Film für einen Academy Award für bestes Kostümdesign nominiert, aber der Preis ging an Colleen Atwood für " Alice im Wunderland".
Dorothy Wright Liebes ( 14 October 1897 – 20 September 1972 ) was an American textile designer and weaver renowned for her innovative , custom - designed modern fabrics for architects and interior designers . ||| Dorothy Wright Liebes ( 14. Oktober 1897 – 20. September 1972) war eine amerikanische Textildesignerin und Weberin, die für ihre innovativen, maßgeschneiderten modernen Stoffe für Architekten und Innenarchitekten bekannt war.
A Hearst writer ghost wrote the newspaper page after 1918 , but the designer herself penned the " Good Housekeeping " and " Harper 's Bazaar " features throughout their duration , although the responsibility of producing a regular piece proved difficult , and she missed several deadlines . ||| Ein Hearst Schriftsteller Geist schrieb die Zeitungsseite nach 1918, aber die Designer selbst schrieb die "Gute Haushälterei " und " Harper's Bazaar " Features während ihrer Dauer, obwohl die Verantwortung für die Herstellung eines regelmäßigen Stücks erwies sich als schwierig, und sie verpasste mehrere Fristen.
Her mother was an interior designer and her father a " pied noir " and a real estate agent . ||| Ihre Mutter war Innenarchitektin und ihr Vater ein "Pied Noir" und ein Immobilienmakler.
The designer first gained international recognition in 2000 with her collection „ Déclaration d’amour à l’Allemagne “ . ||| Die Designerin erlangte 2000 mit ihrer Kollektion „ Déclaration d".amour à l.Allemagne.
The designer also draws on her studies of Bohemianism , Dark Romanticism , and love for the literature , art and music of the Decadent movement . ||| Die Designerin greift auch auf ihre Studien über Böhmertum, Dunkle Romantik und Liebe zur Literatur, Kunst und Musik der Dekadentenbewegung zurück.
AG Hair was founded in 1989 by Lotte Davis , a South African - born graphic designer and her husband John Davis , a hairdresser from Liverpool , in their North Vancouver basement . ||| AG Hair wurde 1989 von Lotte Davis, einer südafrikanischen Grafikdesignerin, und ihrem Mann John Davis, einem Friseur aus Liverpool, in ihrem North Vancouver Keller gegründet.
Everything is produced in Moscow under the strict control of the designer herself . ||| Alles wird in Moskau unter der strengen Kontrolle des Designers selbst produziert.
Fashion designer Valentino once commented on her physical resemblance to Marlene Dietrich . ||| Modedesignerin Valentino kommentierte einmal ihre körperliche Ähnlichkeit mit Marlene Dietrich.
Kanai was born in 1978 to parents with artistic backgrounds , her father being a graphic designer and her mother working for the Japanese fashion designer Issey Miyake . ||| Kanai wurde 1978 für Eltern mit künstlerischem Hintergrund geboren, ihr Vater war Grafikdesignerin und ihre Mutter arbeitete für die japanische Modedesignerin Issey Miyake.
No director , choreographer , set designer or costume designer was hired like back in her days as career performer . ||| Kein Regisseur, Choreograf, Bühnenbildner oder Kostümbildner wurde wie in ihren Tagen als Karrierekünstler eingestellt.
In 1993 , a Beverly Hills graphic designer who said she had an on-and-off relationship with Sharkey from 1985 to 1991 announced that she was suing Sharkey ' s estate . ||| 1993 kündigte eine Beverly Hills Grafikdesignerin an, die von 1985 bis 1991 eine On-and-Off-Beziehung mit Sharkey hatte, dass sie Sharkeys Nachlass verklagte.
Designer Nicole Miller used Lynn 's " The Last High ( Y - Tron Remix ) " for her Spring 2013 campaign . ||| Designer Nicole Miller hat Lynns "The Last High ( Y - Tron Remix )" für ihre Kampagne im Frühjahr 2013 verwendet.
Costume designer Daphne Dare used artistic license with her costumes in the serial , since male Aztecs usually only wore brief loincloths and cloaks , while women were often topless . ||| Kostümdesignerin Daphne Dare nutzte mit ihren Kostümen die künstlerische Lizenz in der Serie, da männliche Azteken meist nur kurze Lendentücher und Mäntel trugen, während Frauen oft oben ohne waren.
Her mother , Tessa , an interior designer spent time with her children playing tennis during their childhood . ||| Ihre Mutter, Tessa, eine Innenarchitektin verbrachte Zeit mit ihren Kindern Tennis spielen in ihrer Kindheit.
Her maternal grandmother was a talented designer herself , and she displayed talent as a young girl in drawing and making clothes for her dolls . ||| Ihre Großmutter mütterlicherseits war selbst eine talentierte Designerin, und sie zeigte Talent als junges Mädchen beim Zeichnen und Anfertigen von Kleidung für ihre Puppen.
Anne Fogarty ( February 2 , 1919 – January 15 , 1980 ) was an American fashion designer , active 1940–80 , who was noted for her understated , ladylike designs that were accessible to American women on a limited income . ||| Januar 1980 in New York City) war eine US-amerikanische Modedesignerin, die 1940–80 aktiv war und für ihre untertriebenen, ladylike Designs bekannt war, die amerikanischen Frauen mit einem begrenzten Einkommen zugänglich waren.
The designer praised her look and strong photographs , but criticized her runway walk as well as her lack of eye contact . ||| Die Designerin lobte ihr Aussehen und starke Fotos, kritisierte aber ihren Laufsteg sowie ihren Mangel an Augenkontakt.
Her designer was John Henslow , and she was identical with his contemporaneous except that " Echo " was a ship - sloop and " Busy " was a brig - sloop . ||| Ihr Designer war John Henslow, und sie war identisch mit seiner gleichzeitigen, außer dass " Echo " war ein Schiff - sloop und " busy " war ein Brig - sloop.
Urai has also worked as a freelance graphic designer and video game journalist and through her work with Microsoft she has been sponsored by the company , wearing an Xbox 360 logo on her gear . ||| Urai hat auch als freie Grafikdesignerin und Videospieljournalistin gearbeitet und durch ihre Arbeit mit Microsoft wurde sie von der Firma gesponsert und trägt ein Xbox 360 Logo auf ihrer Ausrüstung.
In October 2014 , following the publication of the authorised biography Vivienne Westwood by the fashion designer and her co - author Ian Kelly , Gorman accused the authors and the publisher Picador of plagiarising substantial sections of material from his book " " . ||| Im Oktober 2014, nach der Veröffentlichung der autorisierten Biographie Vivienne Westwood durch die Modedesignerin und ihre Co-Autorin Ian Kelly, Gorman beschuldigt die Autoren und der Verlag Picador der Plagiatierung wesentlicher Teile des Materials aus seinem Buch ".
Judianna Makovsky ( born August 24 , 1967 ) is an American costume designer , who is perhaps best known for her work on the films " Harry Potter and the Philosopher 's Stone " ( 2001 ) , " Seabiscuit " ( 2003 ) and " The Hunger Games " ( 2012 ) , as well as various films within the Marvel Cinematic Universe . ||| Judianna Makovsky (geb. 24. August 1967) ist eine amerikanische Kostümdesignerin, die vielleicht am besten für ihre Arbeit an den Filmen " Harry Potter und der Philosoph's Stone " ( 2001 ), " Seabiscuit " ( 2003 ) und " Die Hungerspiele " ( 2012 ), sowie verschiedene Filme im Marvel Cinematic Universe bekannt ist.
One of the former residents of Satoya , however , turns out to be a famous designer who owns a run-down villa on Miyakojima that she offers to let Jun turn into a inn . ||| Einer der ehemaligen Bewohner von Satoya, jedoch, erweist sich als ein berühmter Designer, der eine heruntergekommene Villa auf Miyakojima besitzt, die sie anbietet, Jun in ein Gasthaus verwandeln zu lassen.
She became a designer herself at the company during the early 1930s and created a number of patterns on bone china and Queen ’s ware for Wedgwood . ||| Sie wurde selbst Designerin in der Firma in den frühen 1930er Jahren und schuf eine Reihe von Mustern auf Knochenporzellan und Queens Ware für Wedgwood.
The designer also said she had to make some adaptations to a suit worn by Ormond , as she is a completely different body shape to her character , Vivien Leigh . ||| Die Designerin sagte auch, sie müsse ein paar Anpassungen an einen Anzug machen, der von Ormond getragen wird, da sie eine völlig andere Körperform als ihr Charakter ist, Vivien Leigh.
The American designer Anne Fogarty was particularly noted for her full - skirted designs worn over crinoline petticoats , which were always separate garments from the dress to enable ease of movement and travelling . ||| Die amerikanische Designerin Anne Fogarty war besonders für ihre vollschürfenden Designs über Crinoline Petticoats bekannt, die immer Kleidungsstücke vom Kleid trennten, um Bewegungsfreiheit und Reisen zu ermöglichen.
